config,engine,model,architecture,active_params,precision,gpus,rps,io_shape,prefix_caching,burstiness,harness_version,request_throughput,tps_output,ttft_mean_ms,ttft_p50_ms,ttft_p90_ms,ttft_p99_ms,e2el_p50_ms,e2el_p90_ms,e2el_p99_ms,tpot_p50_ms,tpot_p90_ms,gpu_util_pct,gpu_power_w,gpu_cost_hr,c_eff_per_mtok,c_naive_per_mtok,underutil_penalty
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,100,agentic,0,1.0,v2,1.0508330938081483,4304.212352238175,249946.4573285491,10653.630669999984,657408.5820348009,662613.7657912001,580523.5155299997,931704.5799484007,949636.2058482796,70.11138744542129,118.45580098647139,48.46468781985671,224.3140609007165,6.98,0.45046311153321084,0.44979777581520153,1.001479188546016
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,1,agentic,0,1.0,v2,0.9180739008855637,3760.430698027269,76.47999957799584,76.58937800033527,91.14521170031367,113.261555150184,55792.65999149993,70143.46775890008,71988.92430489996,13.607520440659426,17.109788885885177,49.150393700787404,224.73707086614175,6.98,0.5156028775921957,0.44979777581520153,1.1462993045213057
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,25,agentic,0,1.0,v2,1.0523874740842838,4310.579093849226,244771.03578341028,762.3160800012556,637978.9487320002,640002.7707377198,563552.3149290002,903577.6324729999,919095.7399485189,69.37186306642218,114.43053979443218,49.34516706443914,226.92820405727926,6.98,0.44979777581520153,0.44979777581520153,1.0
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,100,chat,1,1.0,v2,28.499878154095,7295.96880744832,4441.007928349079,4632.038998499866,5209.510584399823,12450.110539420215,33652.91461300012,40554.31724830005,47146.49674850002,113.51364750392207,133.6520389137247,40.93296089385475,201.07715083798882,6.98,0.2657479685096122,0.2625087374716368,1.0123395170354106
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,10,chat,1,1.0,v2,9.886619888844187,2530.974691544112,41.468797419998964,39.865893500063976,51.15726910007652,63.392272600019616,1970.4331679998859,2101.8964351999557,2216.5506050801832,7.5735207980392705,8.0770571615685,46.181481481481484,201.70166666666668,6.98,0.766064115681062,0.2625087374716368,2.9182423528429515
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,1,chat,1,1.0,v2,0.9976162436877267,255.38975838405804,30.16631437399792,31.307422499935456,33.94104769988644,41.824104340014394,1220.7243044999814,1259.1085922000957,1297.752186250052,4.669635349019772,4.812013181176197,32.63877952755905,155.89753937007873,6.98,7.59188191866788,0.2625087374716368,28.920492292140022
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,200,chat,1,1.0,v2,28.583555761876852,7317.390275040474,5183.507044665612,4944.971252999949,8601.641676800136,12182.120656660034,33874.4946249999,41556.05464019991,51744.27190051989,112.41131988235257,134.39454046901847,35.609756097560975,186.01002439024393,6.98,0.2649699983206328,0.2625087374716368,1.0093759197225272
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,25,chat,1,1.0,v2,24.600985274070478,6297.852230162042,75.79651034466693,72.47658049993788,102.26424050001697,134.1388761500046,4315.5828350001,5567.094851100092,5882.063683990085,16.646698368627124,21.498225917254395,45.679310344827584,212.5028275862069,6.98,0.30786509718393346,0.2625087374716368,1.172780381137589
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,50,chat,1,1.0,v2,28.851552886084587,7385.997538837654,2248.2149223908264,1605.71537550004,4849.487276500077,7792.215693829816,33091.27771800001,35972.0754674001,41476.91243668997,120.45408235490271,124.42098830352957,44.134502923976605,210.29207602339181,6.98,0.2625087374716368,0.2625087374716368,1.0
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,5,chat,1,1.0,v2,4.948305448187444,1266.7661947359857,35.61800277499742,34.74900449998586,40.403809499980525,53.29078335999838,1416.511810999964,1560.57981010008,1629.3549799700895,5.415504462744851,5.984125480000312,46.78030303030303,194.1267803030303,6.98,1.530581489264469,0.2625087374716368,5.830592550961636
C2,vllm,meta-llama/Meta-Llama-3.1-8B-Instruct,dense,8B,fp8,1,100,rag,0,1.0,v2,2.257517436021983,2311.6978544865106,225834.31105715863,232695.8002535007,398511.2459173004,401121.34759528027,287325.6366575006,451349.26105779974,455914.0851416501,53.39602552981453,55.33971137937446,41.37252368647717,202.98298880275627,6.98,0.8387293716287018,0.8387293716287018,1.0
